Threads;Seconds
1;5296.196015
2;2951.912760
3;2144.311690
4;1751.049212
5;1516.097769
6;1365.390374
7;1118.991959
8;809.959819
9;1109.519472
10;1064.952040
12;1019.201967
14;974.032068
15;468.342767
16;953.379458
18;945.764868
20;714.495696
21;452.969474
24;486.519201
25;477.540283
27;457.868139
28;451.551336
30;438.814208
32;428.476671
35;395.751038
36;387.157440
40;349.291241
42;332.914222
45;308.888234
48;299.560136
49;294.738218
50;290.268479
54;267.736584
56;259.367324
60;243.721255
63;237.072080
64;239.686473
70;224.726898
72;216.245608
75;170.175714
80;193.104428
81;191.156152
84;187.110874
90;176.815752
96;161.898325
98;171.032253
100;164.358896
105;161.595310
108;160.544867
112;157.315416
120;153.954560
125;137.210833
126;148.527584
128;149.783254
135;140.787028
140;143.357683
144;141.198763
147;135.098345
150;133.524185
160;133.599508
162;132.475730
168;129.031399
175;125.740561
180;128.546984
189;123.296127
192;122.528604
196;116.686969
200;122.858324
210;116.397131
216;114.494499
224;111.947459
225;108.283122
240;109.410989
243;108.811898
245;105.300840
250;104.721960
252;108.984349
256;108.365248
270;106.267046
280;103.328955
288;101.497217
294;97.671077
300;102.936282
315;100.051236
320;97.305903
324;97.088443
350;94.669068
360;95.198574
400;92.394945
405;89.162073
450;87.992011
500;85.021925
Threads;Seconds
1;5296.196015
2;2951.912760
3;2144.311690
4;1751.049212
5;1516.097769
6;1365.390374
7;1118.991959
8;809.959819
9;1109.519472
10;1064.952040
12;1019.201967
14;974.032068
15;468.342767
16;953.379458
18;945.764868
20;714.495696
21;452.969474
24;486.519201
25;477.540283
27;457.868139
28;451.551336
30;438.814208
32;428.476671
35;395.751038
36;387.157440
40;349.291241
42;332.914222
45;308.888234
48;299.560136
49;294.738218
50;290.268479
54;267.736584
56;259.367324
60;243.721255
63;237.072080
64;239.686473
70;224.726898
72;216.245608
75;170.175714
80;193.104428
81;191.156152
84;187.110874
90;176.815752
96;161.898325
98;171.032253
100;164.358896
105;161.595310
108;160.544867
112;157.315416
120;153.954560
125;137.210833
126;148.527584
128;149.783254
135;140.787028
140;143.357683
144;141.198763
147;135.098345
150;133.524185
160;133.599508
162;132.475730
168;129.031399
175;125.740561
180;128.546984
189;123.296127
192;122.528604
196;116.686969
200;122.858324
210;116.397131
216;114.494499
224;111.947459
225;108.283122
240;109.410989
243;108.811898
245;105.300840
250;104.721960
252;108.984349
256;108.365248
270;106.267046
280;103.328955
288;101.497217
294;97.671077
300;102.936282
315;100.051236
320;97.305903
324;97.088443
350;94.669068
360;95.198574
400;92.394945
405;89.162073
450;87.992011
500;85.021925
Threads;Seconds
1;5296.196015
2;2951.912760
3;2144.311690
4;1751.049212
5;1516.097769
6;1365.390374
7;1118.991959
8;809.959819
9;1109.519472
10;1064.952040
12;1019.201967
14;974.032068
15;468.342767
16;953.379458
18;945.764868
20;714.495696
21;452.969474
24;486.519201
25;477.540283
27;457.868139
28;451.551336
30;438.814208
32;428.476671
35;395.751038
36;387.157440
40;349.291241
42;332.914222
45;308.888234
48;299.560136
49;294.738218
50;290.268479
54;267.736584
56;259.367324
60;243.721255
63;237.072080
64;239.686473
70;224.726898
72;216.245608
75;170.175714
80;193.104428
81;191.156152
84;187.110874
90;176.815752
96;161.898325
98;171.032253
100;164.358896
105;161.595310
108;160.544867
112;157.315416
120;153.954560
125;137.210833
126;148.527584
128;149.783254
135;140.787028
140;143.357683
144;141.198763
147;135.098345
150;133.524185
160;133.599508
162;132.475730
168;129.031399
175;125.740561
180;128.546984
189;123.296127
192;122.528604
196;116.686969
200;122.858324
210;116.397131
216;114.494499
224;111.947459
225;108.283122
240;109.410989
243;108.811898
245;105.300840
250;104.721960
252;108.984349
256;108.365248
270;106.267046
280;103.328955
288;101.497217
294;97.671077
300;102.936282
315;100.051236
320;97.305903
324;97.088443
350;94.669068
360;95.198574
400;92.394945
405;89.162073
450;87.992011
500;85.021925
