Threads;Seconds
1;202.806095
2;112.867335
3;82.323535
4;67.479340
5;58.378805
6;52.472375
7;48.485801
8;45.437874
9;43.345648
10;41.585595
12;39.247476
14;37.500273
15;37.109566
16;36.771125
18;36.482301
20;36.178594
21;36.110012
24;38.876982
25;37.971059
27;36.747983
28;36.074883
30;35.099275
32;34.130116
35;31.436801
36;30.852652
40;27.717683
42;26.388043
45;24.534280
48;23.770190
49;23.470236
50;23.062612
54;21.319666
56;20.621723
60;19.251536
63;19.956896
64;19.428527
70;17.783035
72;17.148145
75;13.776566
80;15.202453
81;15.046933
84;14.966740
90;13.988305
96;13.698019
98;13.489129
100;12.990886
105;12.878836
108;12.690024
112;12.441342
120;12.204326
125;10.812157
126;11.954908
128;11.862085
135;11.087333
140;11.351146
144;11.175164
147;10.674908
150;10.584890
160;10.544555
162;10.496895
168;10.172726
175;9.936704
180;10.158796
189;11.414671
192;10.690104
196;9.159885
200;9.682218
210;9.208982
216;9.042270
224;8.821900
225;8.568632
240;8.646796
243;8.615501
245;8.272073
250;8.253500
252;10.392496
256;10.422827
270;8.445112
280;8.088654
288;7.989182
294;7.739215
300;8.070718
315;8.448606
320;7.671187
324;7.658868
336;7.521920
343;7.289035
350;7.469798
360;9.410697
375;9.553921
378;8.702624
384;9.895059
392;8.598488
400;7.209110
405;7.028007
420;6.923568
432;6.838886
441;10.389062
448;7.568008
450;6.972064
480;6.585444
486;6.598123
490;6.572172
500;6.726556
504;6.451875
512;6.650720
525;6.378463
540;7.998803
560;6.260014
567;8.838831
576;6.163984
588;8.418230
600;6.324465
625;5.717125
630;10.834598
640;5.958658
648;5.992742
672;5.872644
675;5.644011
686;6.293121
700;6.037006
720;5.949788
729;5.734763
735;9.962062
750;6.263285
756;6.687643
768;12.156638
784;5.851497
800;8.495193
810;10.603947
840;9.027785
864;5.370109
875;5.266975
882;11.753269
896;8.963164
900;5.479552
945;10.677514
960;5.204266
972;5.241731
980;10.152167
1000;6.706172
1008;5.091946
1024;6.499810
1029;4.894305
1050;9.105121
1080;6.711711
1120;9.518311
1125;9.152150
1134;7.342142
1152;4.887247
1176;15.106314
1200;8.840663
1215;8.291155
1225;6.577032
1250;4.598407
1260;14.969860
1280;12.334724
1296;10.152807
1323;7.783993
1344;4.878314
1350;4.917372
1372;14.089030
1400;8.536139
1440;6.835006
1458;4.628177
1470;16.038575
1500;12.398579
1512;11.093334
1536;12.322512
1568;6.129417
1575;6.122088
1600;18.105146
1620;17.791272
1680;10.132702
1701;7.981437
1715;7.088282
1728;4.578455
1750;4.358113
1764;21.868505
1792;19.091349
1800;15.626962
1890;9.097977
1920;6.238328
1944;4.302192
1960;21.611581
2000;17.296736
2016;16.786206
2025;17.000183
2048;17.412685
2058;14.295998
2100;9.106844
2160;7.458521
2187;4.145224
2205;27.604657
2240;22.565646
2250;22.930265
2268;20.504865
2304;17.526364
2352;15.162639
2400;9.952884
2401;11.921755
2430;10.356494
2450;5.522232
2500;4.161675
2520;29.644230
2560;27.400462
2592;25.352545
2646;22.146458
2688;19.397045
2700;16.802044
2744;16.388676
2800;9.241372
2835;8.459660
2880;6.854034
2916;3.969557
2940;33.102146
3000;30.342274
3024;28.577014
3072;27.768005
3087;28.099067
3136;25.342853
3150;23.505477
3200;18.951816
3240;18.788107
3360;10.713139
3402;8.544245
3430;6.703399
3456;4.817314
3500;3.909401
3528;41.547116
3584;40.180424
3600;37.197325
3645;35.660502
3780;30.272449
3840;27.212558
3888;25.175399
3920;24.770368
3969;22.639518
4000;18.174416
4032;18.371849
4050;18.253908
4096;15.778539
4200;10.047841
4320;6.499205
4374;3.545967
4410;52.630428
4480;49.626420
4500;46.988547
4536;47.791725
4608;42.960569
4800;36.811576
4860;35.833381
4900;34.566123
5000;31.193031
5040;30.985377
5103;26.761976
5120;26.275539
5184;24.211019
5400;16.703707
5600;10.466917
5670;8.521884
5760;5.456583
5832;3.605349
6000;62.370040
6300;55.616732
6400;54.258505
6480;55.207745
6561;51.806916
7000;42.465732
7200;37.825761
7290;35.682571
8000;18.754811
8100;16.711810
9000;97.364649
10000;85.200499
