Processes	Seconds
1		17.362738
2		12.252880
3		10.047019
4		7.714497
5		8.893883
6		6.530706
7		6.590917
8		5.863499
9		6.194425
10		5.802778
11		3.716426
12		0.641848
13		0.673121
14		0.698536
15		0.648886
16		0.702230
17		0.695865
18		0.632283
19		0.667145
20		0.661435
21		0.648031
22		0.672683
23		0.636833
24		0.685260
25		0.670370
26		0.644342
27		0.646028
28		0.677648
29		0.633667
30		0.694491
31		0.657821
32		0.661876
33		0.659337
34		0.681558
35		0.654048
36		0.645836
37		0.665029
38		0.637707
39		0.644730
40		0.672121
41		0.661699
42		0.664404
43		0.643209
44		0.654464
45		0.658236
46		0.657417
47		0.655206
48		0.652431
49		0.663511
50		0.649602
51		0.645170
52		0.656453
53		0.640583
54		0.642267
55		0.645033
56		0.645869
57		0.658986
58		0.656542
59		0.638627
60		0.664362
61		0.657573
62		0.653577
63		0.651658
64		0.655732
65		0.651509
66		0.636348
67		0.651666
68		0.650569
69		0.651115
70		0.648801
71		0.659493
72		0.657911
73		0.652837
74		0.653340
75		0.646367
76		0.648933
77		0.647958
78		0.652738
79		0.677083
80		0.650739
81		0.650424
82		0.654611
83		0.647333
84		0.650932
85		0.643958
86		0.691486
87		0.655510
88		0.649321
89		0.613105
90		0.649407
91		0.641479
92		0.641163
93		0.651804
94		0.651589
95		0.642594
96		0.650572
97		0.648770
98		0.651533
99		0.641609
100		0.650754
