Processes	Seconds
1		1934.984835
2		974.412085
3		656.120142
4		494.467612
5		401.322904
6		354.841289
7		305.056148
8		268.562484
9		239.173453
10		204.133096
11		194.227277
12		165.964393
13		163.938004
14		150.181036
15		143.365346
16		136.218595
17		125.233272
18		118.749481
19		106.745325
20		107.764750
21		101.078896
22		99.875154
23		93.371947
24		91.178129
25		88.266464
26		83.643536
27		79.658221
28		78.124632
29		75.122074
30		72.839840
31		70.375673
32		67.841051
33		66.482019
34		65.820807
35		62.865029
36		62.418222
37		60.140626
38		58.607176
39		58.361485
40		56.506766
41		54.760648
42		54.146493
43		53.418961
44		52.033683
45		56.110641
46		53.842156
47		48.416703
48		47.635581
49		46.962928
50		45.815363
51		46.638309
52		44.994539
53		43.417138
54		41.991919
55		45.473673
56		45.633312
57		43.654158
58		40.441253
59		42.684681
60		42.537247
61		38.693488
62		40.264578
63		41.699899
64		36.812759
65		40.546789
66		35.232531
67		38.851483
68		34.735204
69		33.502787
70		34.196724
71		37.182899
72		33.018400
73		36.127667
74		35.606903
75		35.612011
76		33.418248
77		32.143169
78		32.975330
79		36.207557
80		34.981117
81		34.849624
82		34.985441
83		31.953319
84		34.435622
85		34.551719
