Processes	Seconds
1		2.109413
2		1.054988
3		0.705477
4		0.525532
5		0.562185
6		0.572402
7		0.548707
8		0.536974
9		0.536919
10		0.556325
11		0.533155
12		0.536316
13		0.531402
14		0.544075
15		0.529020
16		0.531531
17		0.550270
18		0.537413
19		0.524334
20		0.559481
21		0.530944
22		0.557865
23		0.541677
24		0.523940
25		0.523276
26		0.525898
27		0.527740
28		0.518967
29		0.526985
30		0.557949
31		0.571132
32		0.525858
33		0.536670
34		0.592288
35		0.531092
36		0.574230
37		0.528083
38		0.534419
39		0.537278
40		0.602001
41		0.531760
42		0.504211
43		0.589559
44		0.529016
45		0.512402
46		0.559670
47		0.558966
48		0.521405
49		0.557326
50		0.529324
51		0.507604
52		0.454496
53		0.579969
54		0.538608
55		0.481574
56		0.490141
57		0.581286
58		0.533991
59		0.510551
60		0.474877
61		0.451723
62		0.592575
63		0.548801
64		0.528872
65		0.478616
66		0.491855
67		0.430701
68		0.580818
69		0.532996
70		0.484094
71		0.458500
72		0.450948
73		0.446419
74		0.407519
75		0.397329
76		0.545173
77		0.476690
78		0.512383
79		0.469581
80		0.397754
81		0.384417
82		0.386804
83		0.330017
84		0.323079
85		0.519333
86		0.469587
87		0.482988
88		0.483158
89		0.410559
90		0.388187
91		0.377720
92		0.327174
93		0.320608
94		0.330272
95		0.255864
96		0.289374
97		0.473932
98		0.457110
99		0.443646
100		0.393193
